,Cannonball
0,1
1,191
2,191
3,191
4,192
5,192
6,192
7,192
8,192
9,191
10,191
11,191
12,191
13,191
14,191
15,190
16,190
17,190
18,190
19,190
20,190
21,190
22,190
23,190
24,190
25,190
26,190
27,190
28,189
29,189
30,188
31,188
32,188
33,188
34,188
35,188
36,188
37,188
38,188
39,188
40,188
41,188
42,188
43,189
44,189
45,189
46,189
47,189
48,189
49,189
50,189
51,189
52,189
53,189
54,189
55,188
56,188
57,188
58,188
59,188
60,188
61,188
62,188
63,187
64,187
65,188
66,188
67,188
68,188
69,188
70,188
71,188
72,188
73,188
74,188
75,188
76,188
77,188
78,188
79,188
80,188
81,188
82,188
83,188
84,188
85,188
86,188
87,188
88,188
89,188
90,189
91,189
92,189
93,190
94,190
95,188
96,188
97,188
98,188
99,188
100,187
101,187
102,187
103,187
104,187
105,187
106,187
107,187
108,187
109,187
110,188
111,188
112,188
113,190
114,190
115,189
116,189
117,189
118,190
119,190
120,190
121,190
122,190
123,190
124,190
125,191
126,191
127,191
128,192
129,192
130,192
131,192
132,192
133,192
134,192
135,192
136,192
137,192
138,192
139,192
140,192
141,192
142,192
143,192
144,192
145,192
146,192
147,192
148,192
149,192
150,192
151,192
152,192
153,193
154,193
155,195
156,195
157,195
158,195
159,195
160,194
161,194
162,194
163,195
164,195
165,195
166,195
167,195
168,195
169,195
170,195
171,195
172,195
173,195
174,195
175,194
176,194
177,194
178,194
179,194
180,194
181,194
182,194
183,194
184,194
185,192
186,192
187,192
188,192
189,192
190,191
191,191
192,191
193,191
194,191
195,191
196,191
197,191
198,191
199,191
200,191
201,191
202,191
203,191
204,191
205,192
206,192
207,192
208,192
209,192
210,192
211,192
212,192
213,192
214,192
215,190
216,190
217,190
218,192
219,192
220,192
221,192
222,192
223,190
224,190
225,190
226,190
227,190
228,189
229,189
230,189
231,189
232,189
233,189
234,189
235,189
236,189
237,189
238,190
239,190
240,190
241,190
242,190
243,190
244,190
245,190
246,190
247,190
248,190
249,190
250,190
251,190
252,190
253,189
254,189
255,190
256,190
257,190
258,190
259,190
260,191
261,191
262,191
263,191
264,191
265,191
266,191
267,191
268,190
269,190
270,190
271,190
272,190
273,190
274,190
275,189
276,189
277,189
278,189
279,189
280,189
281,189
282,189
283,189
284,189
285,189
286,189
287,189
288,188
289,188
290,188
291,188
292,188
293,188
294,188
295,188
296,188
297,188
298,188
299,188
300,187
301,187
302,187
303,187
304,187
305,188
306,188
307,188
308,188
309,188
310,188
311,188
312,188
313,188
314,188
315,188
316,188
317,188
318,189
319,189
320,188
321,188
322,188
323,188
324,188
325,188
326,188
327,188
328,188
329,188
330,188
331,188
332,188
333,188
334,188
335,188
336,188
337,188
338,188
339,188
